# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000785469
     0.07%  GC Thread#0      libjvm.so           [.] 0x0000000000782d6e
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000782d64
     0.07%  GC Thread#2      libjvm.so           [.] 0x000000000078528d
     0.07%  G1 Refine#0      libjvm.so           [.] 0x000000000079343c
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782cb6
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b6e9
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b984
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000785723
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b829
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000785487
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782ead
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b556
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782dc0
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b54a
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b794
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000786f09
     0.07%  GC Thread#0      libjvm.so           [.] 0x00000000007854a3
     0.07%  GC Thread#2      libjvm.so           [.] 0x00000000007852a0
     0.07%  GC Thread#1      libjvm.so           [.] 0x00000000007851d7
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000785427
     0.07%  G1 Refine#0      libjvm.so           [.] 0x0000000000793435
     0.07%  GC Thread#2      libjvm.so           [.] 0x000000000078520c
     0.07%  GC Thread#3      libjvm.so           [.] 0x000000000078558a
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b660
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782ca9
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000785229
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b732
     0.07%  G1 Refine#0      libjvm.so           [.] 0x000000000080edb7
     0.07%  GC Thread#2      libjvm.so           [.] 0x00000000007954d9
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782ea0
     0.07%  GC Thread#0      libjvm.so           [.] 0x00000000007854af
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782f40
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782cc2
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842bac9
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000785498
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b8b7
     0.07%  C2 CompilerThre  ld-2.30.so          [.] __tls_get_addr
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b777
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6096ad8f
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c609606a0
     0.07%  GC Thread#2      libjvm.so           [.] 0x000000000078558a
     0.07%  java             ld-2.30.so          [.] __tls_get_addr
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b473
     0.07%  GC Thread#1      libjvm.so           [.] 0x00000000007856fb
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c68428a60
     0.06%  java             libjvm.so           [.] 0x0000000000b7a5fb
     0.06%  GC Thread#2      libjvm.so           [.] 0x00000000007851f7
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b5cd
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782ec6
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782ec3
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b614
     0.06%  java             [JIT] tid 29344     [.] 0x00007f7c6842b430
     0.06%  GC Thread#2      libjvm.so           [.] 0x00000000007851d7
     0.06%  GC Thread#2      libjvm.so           [.] 0x000000000079061c
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782dca
     0.06%  G1 Refine#0      libjvm.so           [.] 0x000000000080eca9
     0.06%  GC Thread#1      libjvm.so           [.] 0x000000000078551c
     0.06%  GC Thread#1      libjvm.so           [.] 0x000000000078553c
