# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles:u'
# Event count (approx.): 6897413689
#
# Overhead  Command          Shared Object       Symbol                                                             
# ........  ...............  ..................  ...................................................................
#
     0.10%  G1 Refine#0      libjvm.so           [.] 0x000000000079345a
     0.10%  GC Thread#1      libjvm.so           [.] 0x00000000007852e0
     0.10%  G1 Conc#0        libjvm.so           [.] 0x00000000005fd526
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000758302
     0.09%  GC Thread#0      libjvm.so           [.] 0x0000000000782ec3
     0.09%  GC Thread#2      libjvm.so           [.] 0x00000000007852e0
     0.09%  GC Thread#3      libjvm.so           [.] 0x0000000000782eb0
     0.09%  G1 Conc#0        libjvm.so           [.] 0x0000000000795340
     0.09%  G1 Conc#0        libjvm.so           [.] 0x000000000080edb2
     0.09%  G1 Conc#0        libjvm.so           [.] 0x000000000079539b
     0.09%  G1 Conc#0        libjvm.so           [.] 0x00000000007932c9
     0.09%  GC Thread#0      libjvm.so           [.] 0x0000000000795a1d
     0.09%  G1 Conc#0        libjvm.so           [.] 0x00000000007950c8
     0.09%  GC Thread#1      libjvm.so           [.] 0x0000000000795a5a
     0.09%  G1 Conc#0        libjvm.so           [.] 0x000000000074df8b
     0.09%  G1 Conc#0        libjvm.so           [.] 0x00000000007470c0
     0.09%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f9c
     0.09%  G1 Conc#0        libjvm.so           [.] 0x000000000074706a
     0.09%  GC Thread#1      libjvm.so           [.] 0x00000000007854ab
     0.09%  GC Thread#0      libjvm.so           [.] 0x0000000000782d30
     0.09%  G1 Conc#0        libjvm.so           [.] 0x0000000000747283
     0.09%  G1 Refine#0      libjvm.so           [.] 0x000000000080eca8
     0.09%  G1 Conc#0        libjvm.so           [.] 0x0000000000747032
     0.09%  GC Thread#1      libjvm.so           [.] 0x0000000000782f34
     0.09%  java             [JIT] tid 917       [.] 0x00007f15a442465f
     0.09%  G1 Refine#3      libjvm.so           [.] 0x00000000007933f0
     0.09%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f73
     0.09%  GC Thread#0      libjvm.so           [.] 0x0000000000795a2d
     0.09%  java             libjvm.so           [.] 0x0000000000a44149
     0.08%  G1 Refine#3      libjvm.so           [.] 0x0000000000793400
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782eca
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782dd0
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000795a2a
     0.08%  G1 Conc#0        libjvm.so           [.] 0x00000000005fd534
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000748033
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000747019
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000782dca
     0.08%  java             [JIT] tid 917       [.] 0x00007f15a4424785
     0.08%  G1 Conc#0        libjvm.so           [.] 0x000000000075827f
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000785498
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782ea0
     0.08%  G1 Conc#0        libjvm.so           [.] 0x000000000074df68
     0.08%  G1 Refine#2      libjvm.so           [.] 0x00000000007933f6
     0.08%  GC Thread#0      libjvm.so           [.] 0x000000000078705f
     0.08%  G1 Refine#0      libjvm.so           [.] 0x000000000080ec9f
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000a0d687
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000782ead
     0.08%  java             libjvm.so           [.] 0x0000000000d147b1
     0.08%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecbe
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782ead
     0.08%  java             [JIT] tid 917       [.] 0x00007f15a44247b3
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782dce
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782f34
     0.08%  G1 Conc#0        libjvm.so           [.] 0x000000000064d042
     0.08%  G1 Conc#0        libjvm.so           [.] 0x00000000007931c1
     0.08%  G1 Conc#0        libjvm.so           [.] 0x000000000080eda5
     0.08%  G1 Conc#0        libjvm.so           [.] 0x000000000079513c
     0.08%  GC Thread#0      libjvm.so           [.] 0x00000000007853a0
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000747011
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000a43e60
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000795146
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f84
     0.08%  G1 Refine#2      libjvm.so           [.] 0x00000000007933f0
     0.08%  G1 Conc#0        libjvm.so           [.] 0x00000000007582c8
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000758351
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000747307
     0.08%  G1 Conc#0        libjvm.so           [.] 0x00000000007471d6
     0.08%  G1 Conc#0        libjvm.so           [.] 0x0000000000747020
     0.08%  java             libjvm.so           [.] 0x0000000000793427
     0.07%  G1 Refine#0      libjvm.so           [.] 0x000000000080edb7
     0.07%  G1 Refine#0      libjvm.so           [.] 0x00000000007901d0
     0.07%  G1 Conc#0        libjvm.so           [.] 0x00000000007487ea
     0.07%  G1 Conc#0        libjvm.so           [.] 0x00000000007503f0
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782eca
     0.07%  G1 Refine#0      libjvm.so           [.] 0x0000000000793450
     0.07%  G1 Refine#2      libjvm.so           [.] 0x0000000000793427
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000795a1d
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782d55
     0.07%  G1 Conc#0        libjvm.so           [.] 0x00000000005bcb18
     0.07%  java             libjvm.so           [.] 0x0000000000a44152
     0.07%  G1 Conc#0        libjvm.so           [.] 0x0000000000793226
     0.07%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c40
     0.07%  G1 Conc#0        libjvm.so           [.] 0x0000000000758276
     0.07%  java             libjvm.so           [.] 0x0000000000793435
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000a0d687
     0.07%  GC Thread#3      libjvm.so           [.] 0x0000000000782dce
     0.07%  G1 Conc#0        libjvm.so           [.] 0x00000000007471c9
     0.07%  GC Thread#0      libjvm.so           [.] 0x0000000000782cb6
     0.07%  GC Thread#2      libjvm.so           [.] 0x00000000007854a3
     0.07%  G1 Conc#0        libjvm.so           [.] 0x000000000074803a
     0.07%  GC Thread#1      libjvm.so           [.] 0x000000000078558a
     0.07%  GC Thread#1      libjvm.so           [.] 0x000000000079563a
     0.07%  G1 Conc#0        libjvm.so           [.] 0x00000000007487da
     0.07%  GC Thread#1      libjvm.so           [.] 0x00000000007954d9
     0.07%  GC Thread#2      libjvm.so           [.] 0x000000000078705f
     0.07%  G1 Refine#2      libjvm.so           [.] 0x0000000000793410
     0.07%  G1 Refine#2      libjvm.so           [.] 0x0000000000793415
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782f34
     0.07%  GC Thread#0      libjvm.so           [.] 0x0000000000795a63
     0.07%  GC Thread#2      libjvm.so           [.] 0x0000000000782dd0
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782eca
     0.06%  G1 Refine#1      libjvm.so           [.] 0x000000000079381a
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782ea0
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000795a1d
     0.06%  GC Thread#3      libjvm.so           [.] 0x000000000078524e
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000795a2d
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782cb6
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000795381
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000795370
     0.06%  VM Thread        libpthread-2.30.so  [.] do_futex_wait.constprop.0
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000079322d
     0.06%  GC Thread#1      libjvm.so           [.] 0x00000000007851e0
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782dca
     0.06%  G1 Refine#1      libjvm.so           [.] 0x00000000007933f0
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000735e3c
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000079328a
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782eca
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000735e27
     0.06%  GC Thread#2      libjvm.so           [.] 0x00000000007854ab
     0.06%  GC Thread#1      libjvm.so           [.] 0x000000000078547d
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782d7c
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782cb6
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000795351
     0.06%  GC Thread#1      libjvm.so           [.] 0x00000000007853a0
     0.06%  G1 Conc#0        libjvm.so           [.] 0x00000000007471bc
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000735e10
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782d55
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782d64
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000074708a
     0.06%  java             libjvm.so           [.] 0x000000000080ecc1
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000074701b
     0.06%  java             libjvm.so           [.] 0x00000000007933f6
     0.06%  java             libjvm.so           [.] 0x0000000000793410
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000074df85
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782dce
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000790681
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000795a2a
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000a43e60
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782ea0
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000795a5a
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782dce
     0.06%  GC Thread#0      libjvm.so           [.] 0x000000000078523a
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000795a06
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000785498
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000785723
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000785212
     0.06%  GC Thread#0      libjvm.so           [.] 0x00000000007854ab
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000786ef5
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782ed1
     0.06%  GC Thread#0      libjvm.so           [.] 0x000000000078547d
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000782dca
     0.06%  G1 Refine#3      libjvm.so           [.] 0x0000000000793410
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782ed9
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000785723
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000782d7c
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000795642
     0.06%  G1 Refine#1      libjvm.so           [.] 0x0000000000793427
     0.06%  GC Thread#2      libjvm.so           [.] 0x0000000000795a2d
     0.06%  GC Thread#0      libjvm.so           [.] 0x00000000007854a3
     0.06%  GC Thread#3      libjvm.so           [.] 0x0000000000795b7a
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782dc0
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c44
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000735e36
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000795377
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000064d01d
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000795b7a
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000064d02e
     0.06%  G1 Conc#0        libjvm.so           [.] 0x00000000004724cb
     0.06%  G1 Conc#0        libjvm.so           [.] 0x00000000007932d1
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000073b097
     0.06%  G1 Refine#0      libjvm.so           [.] 0x000000000080ec96
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000747050
     0.06%  G1 Conc#0        libjvm.so           [.] 0x000000000079321c
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000782dd0
     0.06%  GC Thread#0      libjvm.so           [.] 0x0000000000782d5e
     0.06%  G1 Conc#0        libjvm.so           [.] 0x0000000000795213
     0.06%  GC Thread#1      libjvm.so           [.] 0x0000000000785470
